iter	RMSE
0	100.6019752
1	97.73499873
2	95.11218169
3	92.7616017
4	90.59939726
5	88.51276396
6	86.48542518
7	84.64718642
8	82.68441811
9	80.91352087
10	79.33413008
11	77.76604697
12	76.23345981
13	74.6766853
14	73.30672014
15	71.74111279
16	70.60860966
17	69.13741295
18	67.73239019
19	66.46458415
20	65.27073181
21	64.40215493
22	63.37798217
23	62.37606809
24	61.41462788
25	60.4896662
26	59.6531682
27	58.60557822
28	57.92677484
29	57.02917377
30	56.13178097
31	55.36914391
32	54.56860892
33	53.97776012
34	53.22721129
35	52.35925105
36	51.54471025
37	50.9405091
38	50.40231952
39	49.73178859
40	49.19931061
41	48.50019816
42	47.92359204
43	47.36564245
44	46.77658539
45	46.17653443
46	45.61113372
47	45.10628987
48	44.57729683
49	44.06647939
50	43.64056173
51	43.29837455
52	43.06069286
53	42.69317915
54	42.26327457
55	41.89711086
56	41.58098796
57	41.23501827
58	40.80263677
59	40.4272916
60	40.13558016
61	39.82227045
62	39.51352419
63	39.30501897
64	39.00399417
65	38.66235234
66	38.40061172
67	38.18384913
68	37.88264167
69	37.67322373
70	37.33581828
71	37.1250276
72	36.99915895
73	36.68071722
74	36.38315192
75	36.04973191
76	35.90544607
77	35.60639166
78	35.4856342
79	35.31244926
80	35.15256736
81	35.0494617
82	34.83035426
83	34.62244597
84	34.4273569
85	34.1903143
86	33.99687848
87	33.87582807
88	33.79022656
89	33.57705523
90	33.35600049
91	33.1544094
92	32.95288433
93	32.75101517
94	32.68333223
95	32.5694482
96	32.40127238
97	32.20372547
98	32.03389965
99	31.89103008
100	31.81186832
101	31.68377491
102	31.50350133
103	31.41792359
104	31.34410554
105	31.27385085
106	31.16552211
107	31.08744299
108	30.96713473
109	30.85063053
110	30.72902159
111	30.59954332
112	30.43620492
113	30.3871832
114	30.26266015
115	30.18871716
116	30.04881248
117	29.91939663
118	29.87479288
119	29.78549205
120	29.69392205
121	29.60744333
122	29.48641512
123	29.39248304
124	29.29877538
125	29.21873875
126	29.14237546
127	29.09648437
128	28.9687542
129	28.91781704
130	28.74321248
131	28.6143669
132	28.57626984
133	28.37639838
134	28.35270916
135	28.30233818
136	28.23686699
137	28.07592534
138	28.03576112
139	27.99148464
140	27.81324715
141	27.74017739
142	27.66026956
143	27.51022552
144	27.43418713
145	27.36230553
146	27.32995524
147	27.24353521
148	27.216774
149	27.12385433
150	27.01257614
151	26.97618339
152	26.86175206
153	26.80182786
154	26.76547573
155	26.70945929
156	26.66925995
157	26.57257573
158	26.54636417
159	26.48176193
160	26.38227219
161	26.30888317
162	26.21084383
163	26.04897548
164	25.91803079
165	25.80783073
166	25.72392934
167	25.66946433
168	25.58181429
169	25.4583642
170	25.36655737
171	25.3488239
172	25.2653762
173	25.16645728
174	25.14434798
175	25.03693059
176	24.96410884
177	24.940943
178	24.85647713
179	24.83617525
180	24.75084388
181	24.68181311
182	24.59365751
183	24.56229122
184	24.49157546
185	24.36038723
186	24.29387679
187	24.18492461
188	24.09260734
189	23.97687388
190	23.86362007
191	23.80441498
192	23.69992255
193	23.59897511
194	23.53942077
195	23.45948332
196	23.40361848
197	23.28580165
198	23.15721681
199	23.13516414
200	23.03217645
201	22.94116558
202	22.81815978
203	22.76362195
204	22.65855727
205	22.57374784
206	22.49716523
207	22.43785335
208	22.39006971
209	22.37372413
210	22.29109565
211	22.18885065
212	22.09195545
213	22.02319226
214	21.97662335
215	21.92940465
216	21.88954753
217	21.79151986
218	21.68848407
219	21.64782513
220	21.63928994
221	21.59788507
222	21.54997748
223	21.510626
224	21.39845276
225	21.31451688
226	21.24365874
227	21.18681018
228	21.12385515
229	21.06368889
230	21.00036876
231	20.94193156
232	20.90314174
233	20.82734016
234	20.8194692
235	20.73146199
236	20.61204619
237	20.60428505
238	20.49767545
239	20.45662962
240	20.36213193
241	20.35556099
242	20.31932394
243	20.27119845
244	20.24598669
245	20.18042248
246	20.11452679
247	20.07277678
248	20.02522519
249	19.95405213
250	19.88345283
251	19.87814337
252	19.79146341
253	19.78491186
254	19.78246528
255	19.75126373
256	19.69307764
257	19.59330603
258	19.58714086
259	19.48516319
260	19.39907394
261	19.39547113
262	19.37185351
263	19.36959699
264	19.26760151
265	19.25723447
266	19.19375278
267	19.17108053
268	19.14787261
269	19.09009494
270	19.08376439
271	19.0775691
272	19.02520332
273	18.98701061
274	18.98092474
275	18.91017267
276	18.90699432
277	18.85025257
278	18.84829635
279	18.84565326
280	18.83985625
281	18.77190865
282	18.71811126
283	18.67736398
284	18.61330915
285	18.60774336
286	18.5542557
287	18.48252083
288	18.44097131
289	18.43559928
290	18.39793107
291	18.37968463
292	18.30745678
293	18.29907689
294	18.23406289
295	18.18338359
296	18.1411582
297	18.13881651
298	18.08981899
299	18.04522399
300	17.96864816
301	17.89072721
302	17.84825837
303	17.77545592
304	17.72702112
305	17.72170622
306	17.71649911
307	17.70976554
308	17.6708619
309	17.58291818
310	17.57625197
311	17.51553677
312	17.44755985
313	17.41757076
314	17.3397276
315	17.28031882
316	17.25942694
317	17.24372837
318	17.16425446
319	17.09973913
320	17.0684557
321	17.0200237
322	16.95914734
323	16.92151152
324	16.86760669
325	16.82575544
326	16.80499442
327	16.79860243
328	16.77334712
329	16.75554852
330	16.69073481
331	16.68481708
332	16.65366492
333	16.59841066
334	16.55579442
335	16.53675985
336	16.48488961
337	16.44677493
338	16.397737
339	16.34734092
340	16.32560189
341	16.31948679
342	16.27055902
343	16.26574759
344	16.25987892
345	16.21065231
346	16.16639588
347	16.13753529
348	16.08212265
349	16.04199482
350	15.98130171
351	15.95952963
352	15.9331548
353	15.92752482
354	15.92216184
355	15.86764734
356	15.82923987
357	15.8035092
358	15.75619266
359	15.70475256
360	15.69939062
361	15.6544776
362	15.63588737
363	15.63000525
364	15.60575828
365	15.54234394
366	15.50571491
367	15.50072182
368	15.4620053
369	15.45713828
370	15.41347149
371	15.38229063
372	15.32638906
373	15.30834313
374	15.28505783
375	15.2334902
376	15.19027288
377	15.1860205
378	15.14058417
379	15.0915676
380	15.07944347
381	15.07703113
382	15.03739805
383	14.97419997
384	14.96889488
385	14.96655978
386	14.91017374
387	14.9018515
388	14.89957472
389	14.89735793
390	14.89380079
391	14.89034746
392	14.85368651
393	14.81675041
394	14.81466349
395	14.78306964
396	14.7810369
397	14.76516751
398	14.754099
399	14.71016656
400	14.68369201
401	14.63587871
402	14.63414066
403	14.62590473
404	14.62088287
405	14.61596652
406	14.60251134
407	14.59297797
408	14.5500584
409	14.53302932
410	14.49036001
411	14.48404018
412	14.47484567
413	14.47203151
414	14.46732443
415	14.46409292
416	14.40630536
417	14.39256385
418	14.376304
419	14.36215433
420	14.32770026
421	14.31056336
422	14.27326675
423	14.22659335
424	14.20488595
425	14.19541486
426	14.18883369
427	14.13946495
428	14.13629948
429	14.09514365
430	14.09073506
431	14.08623593
432	14.02207952
433	13.97159881
434	13.95783559
435	13.95610797
436	13.92570052
437	13.88125398
438	13.8586913
439	13.817174
440	13.76371812
